Tag,Component Type,Fault Mode,Local Effect,System Effect,Detection Method,Severity,Recommended Action
HS-4750.01,Instrument (S),fail_to_operate,Safety switch does not actuate on demand,Safety function fails dangerously — hazard not detected,SIL proof-test; PFDavg calculation,critical,Immediate proof-test; replace if failed; review SIL maintenance schedule
HS-4750.01,Instrument (S),spurious_operation,Switch actuates without demand (false trip),Nuisance shutdown,Trip log review; instrument calibration check,major,Re-calibrate set-point; check for vibration or contamination
PI-4712.01,Indicator (I),high,False high pressure reading,Pressure control acts to vent — loss of containment risk,Cross-check with PI; PSV set-point reference,major,Check for blocked tap or condensate pot; recalibrate
PI-4712.01,Indicator (I),low,False low pressure reading,Pressure builds undetected — overpressure hazard,PSV / rupture disc as independent layer,critical,Inspect impulse line blockage; replace transmitter
TV-4750.03,Control Valve,stuck_open,Valve unable to close,Uncontrolled flow — possible flooding or overpressure downstream,Positioner feedback deviation alarm,critical,"Switch to manual bypass; inspect actuator diaphragm, positioner"
TV-4750.03,Control Valve,stuck_closed,Valve unable to open,"Flow stoppage — process starvation, pump dead-heading",Low flow alarm (FIA-L); pump trip on low-flow protection,critical,Check air supply pressure; inspect positioner; replace actuator
TV-4750.03,Control Valve,fail_as_is,Valve frozen at last position,Loss of control — process drifts from setpoint,Controller output deviation alarm,major,Check valve positioner signal; inspect packing / gland
TV-4750.03,Control Valve,external_leak,Stem packing leak,Fugitive emission — HSE hazard if toxic/flammable,Periodic leak check per API 624; FID / gas detector,major,Tighten packing; replace stem packing at next shutdown
PVA-4712.02,Control Valve,stuck_open,Valve unable to close,Uncontrolled flow — possible flooding or overpressure downstream,Positioner feedback deviation alarm,critical,"Switch to manual bypass; inspect actuator diaphragm, positioner"
PVA-4712.02,Control Valve,stuck_closed,Valve unable to open,"Flow stoppage — process starvation, pump dead-heading",Low flow alarm (FIA-L); pump trip on low-flow protection,critical,Check air supply pressure; inspect positioner; replace actuator
PVA-4712.02,Control Valve,fail_as_is,Valve frozen at last position,Loss of control — process drifts from setpoint,Controller output deviation alarm,major,Check valve positioner signal; inspect packing / gland
PVA-4712.02,Control Valve,external_leak,Stem packing leak,Fugitive emission — HSE hazard if toxic/flammable,Periodic leak check per API 624; FID / gas detector,major,Tighten packing; replace stem packing at next shutdown
SV-104.01,Safety Valve,pop_premature,PSV pops below set pressure,Product loss to flare; environmental release,Periodic pop-test per API 576,major,Re-pop test on bench; adjust spring; replace if worn
SV-104.01,Safety Valve,fail_to_open,PSV fails to open at set pressure,Vessel overpressure — catastrophic rupture risk,Statutory proof-test per jurisdiction,critical,"Replace PSV immediately; investigate cause (gumming, corrosion)"
FC-HV-H-1007-inlet,Control Valve,stuck_open,Valve unable to close,Uncontrolled flow — possible flooding or overpressure downstream,Positioner feedback deviation alarm,critical,"Switch to manual bypass; inspect actuator diaphragm, positioner"
FC-HV-H-1007-inlet,Control Valve,stuck_closed,Valve unable to open,"Flow stoppage — process starvation, pump dead-heading",Low flow alarm (FIA-L); pump trip on low-flow protection,critical,Check air supply pressure; inspect positioner; replace actuator
FC-HV-H-1007-inlet,Control Valve,fail_as_is,Valve frozen at last position,Loss of control — process drifts from setpoint,Controller output deviation alarm,major,Check valve positioner signal; inspect packing / gland
FC-HV-H-1007-inlet,Control Valve,external_leak,Stem packing leak,Fugitive emission — HSE hazard if toxic/flammable,Periodic leak check per API 624; FID / gas detector,major,Tighten packing; replace stem packing at next shutdown
CHK-75SA21-80,Check Valve,stuck_open,Check valve fails to close,Reverse flow on pump stop — potential water hammer,Reverse-flow surge test; acoustic leak check,critical,Isolate and inspect; replace disc or spring
CHK-75SA21-80,Check Valve,chatter,Check valve disc chatter,Premature mechanical wear; pressure pulsations,Vibration monitoring on downstream piping,minor,Replace with nozzle-style check valve; re-size for service
CHK-MNc-47125,Check Valve,stuck_open,Check valve fails to close,Reverse flow on pump stop — potential water hammer,Reverse-flow surge test; acoustic leak check,critical,Isolate and inspect; replace disc or spring
CHK-MNc-47125,Check Valve,chatter,Check valve disc chatter,Premature mechanical wear; pressure pulsations,Vibration monitoring on downstream piping,minor,Replace with nozzle-style check valve; re-size for service
T4750,Vessel,high_pressure,Vessel overpressure,Structural integrity risk; PRV / PSV demand,PSV-102 or rupture disc; PAH alarm,critical,Activate ESD; verify PSV lift; investigate cause after isolation
T4750,Vessel,high_level,Liquid overflow,Flooding downstream equipment; pump cavitation,LSH alarm; LHH trip,critical,Activate level shutdown; divert flow; inspect level instrument
T4750,Vessel,low_level,Vessel runs dry,Pump cavitation; loss of process,LSL alarm; LLL trip,major,Reduce outflow; check inlet isolation valves
P4711,Pump,cavitation,Pump cavitation,"Loss of head, impeller damage, vibration",VT-101 vibration transmitter; FIA-L low-flow alarm,major,Increase suction pressure; check NPSH; reduce speed
P4711,Pump,seal_failure,Mechanical seal failure,Process fluid loss — HSE/environmental hazard,Seal pot level alarm; shaft leak detector,critical,Switch to standby pump; schedule seal replacement
P4711,Pump,loss_of_prime,Pump loses prime,No flow — downstream starvation,PI-102 pressure drop; FIA-L,major,Check suction valve fully open; re-prime; inspect strainer
P4711,Pump,bearing_wear,Bearing wear / imminent failure,"Rising vibration, temperature; impending shaft seizure",Vibration trending (ISO 10816); bearing temperature RTD,major,Switch to standby; schedule bearing replacement
P4711,Pump,motor_overload,Motor overcurrent,Motor winding damage; unplanned trip,MCC overload relay; motor-current trending,major,Inspect for mechanical binding; check process DP increase
P4711,Pump,reverse_rotation,Pump running backwards,No flow delivered; impeller damage on startup,Phase-sequence check; discharge pressure monitoring,major,Correct motor phasing; re-commission
P4712,Pump,cavitation,Pump cavitation,"Loss of head, impeller damage, vibration",VT-101 vibration transmitter; FIA-L low-flow alarm,major,Increase suction pressure; check NPSH; reduce speed
P4712,Pump,seal_failure,Mechanical seal failure,Process fluid loss — HSE/environmental hazard,Seal pot level alarm; shaft leak detector,critical,Switch to standby pump; schedule seal replacement
P4712,Pump,loss_of_prime,Pump loses prime,No flow — downstream starvation,PI-102 pressure drop; FIA-L,major,Check suction valve fully open; re-prime; inspect strainer
P4712,Pump,bearing_wear,Bearing wear / imminent failure,"Rising vibration, temperature; impending shaft seizure",Vibration trending (ISO 10816); bearing temperature RTD,major,Switch to standby; schedule bearing replacement
P4712,Pump,motor_overload,Motor overcurrent,Motor winding damage; unplanned trip,MCC overload relay; motor-current trending,major,Inspect for mechanical binding; check process DP increase
P4712,Pump,reverse_rotation,Pump running backwards,No flow delivered; impeller damage on startup,Phase-sequence check; discharge pressure monitoring,major,Correct motor phasing; re-commission
H1007,Heat Exchanger,tube_leak,Tube leak — cross-contamination,Process fluid contaminates utility stream (or vice versa),Conductivity analyser on cooling water return; AT alarm,critical,Isolate and plug affected tubes; schedule re-tube at shutdown
H1007,Heat Exchanger,fouling,Tube-side / shell-side fouling,Reduced heat transfer — temperature drift,TI outlet temperature trending; increasing DP,minor,Chemical clean or mechanical descale per maintenance schedule
H1007,Heat Exchanger,vapour_lock,Vapour binding / lock in condenser,Flooded condenser; reflux loss; column upset,Temperature profile anomaly; DP increase,major,Purge non-condensables; check vent valve operation
H1007,Heat Exchanger,tube_rupture,Catastrophic tube rupture,High-pressure side overfills low-pressure side; PSV demand,PSV on low-pressure side; DP-loss alarm,critical,Activate ESD; isolate both sides; investigate per API 521
H1008,Heat Exchanger,tube_leak,Tube leak — cross-contamination,Process fluid contaminates utility stream (or vice versa),Conductivity analyser on cooling water return; AT alarm,critical,Isolate and plug affected tubes; schedule re-tube at shutdown
H1008,Heat Exchanger,fouling,Tube-side / shell-side fouling,Reduced heat transfer — temperature drift,TI outlet temperature trending; increasing DP,minor,Chemical clean or mechanical descale per maintenance schedule
H1008,Heat Exchanger,vapour_lock,Vapour binding / lock in condenser,Flooded condenser; reflux loss; column upset,Temperature profile anomaly; DP increase,major,Purge non-condensables; check vent valve operation
H1008,Heat Exchanger,tube_rupture,Catastrophic tube rupture,High-pressure side overfills low-pressure side; PSV demand,PSV on low-pressure side; DP-loss alarm,critical,Activate ESD; isolate both sides; investigate per API 521
