Tag,Component Type,Fault Mode,Local Effect,System Effect,Detection Method,Severity,Recommended Action
FI-1,Indicator (I),high,False high flow reading,Controller drives valve closed unnecessarily,Process cross-check with DP; NAMUR NE 107 Out-of-Spec alarm,major,Inspect impulse lines; calibrate or replace transmitter
FI-1,Indicator (I),low,False low / zero flow reading,Controller opens valve — possible overflow or runaway,NAMUR NE 107 Failure alarm; low-flow interlock check,critical,"Inspect for blocked impulse line, check power supply; replace if failed"
FI-2,Indicator (I),high,False high flow reading,Controller drives valve closed unnecessarily,Process cross-check with DP; NAMUR NE 107 Out-of-Spec alarm,major,Inspect impulse lines; calibrate or replace transmitter
FI-2,Indicator (I),low,False low / zero flow reading,Controller opens valve — possible overflow or runaway,NAMUR NE 107 Failure alarm; low-flow interlock check,critical,"Inspect for blocked impulse line, check power supply; replace if failed"
FI-3,Indicator (I),high,False high flow reading,Controller drives valve closed unnecessarily,Process cross-check with DP; NAMUR NE 107 Out-of-Spec alarm,major,Inspect impulse lines; calibrate or replace transmitter
FI-3,Indicator (I),low,False low / zero flow reading,Controller opens valve — possible overflow or runaway,NAMUR NE 107 Failure alarm; low-flow interlock check,critical,"Inspect for blocked impulse line, check power supply; replace if failed"
TI-1,Indicator (I),high,False high temperature reading,Cooling/heating overreaction; potential ESD trip,Redundant thermocouple comparison; HH alarm check,major,"Check thermowell, re-calibrate; compare with backup TI"
TI-1,Indicator (I),low,False low temperature reading,Heating ramp-up — risk of overtemperature,NAMUR NE 107 Failure alarm,critical,Check wire continuity; replace sensor element
TI-4,Indicator (I),high,False high temperature reading,Cooling/heating overreaction; potential ESD trip,Redundant thermocouple comparison; HH alarm check,major,"Check thermowell, re-calibrate; compare with backup TI"
TI-4,Indicator (I),low,False low temperature reading,Heating ramp-up — risk of overtemperature,NAMUR NE 107 Failure alarm,critical,Check wire continuity; replace sensor element
TI-5,Indicator (I),high,False high temperature reading,Cooling/heating overreaction; potential ESD trip,Redundant thermocouple comparison; HH alarm check,major,"Check thermowell, re-calibrate; compare with backup TI"
TI-5,Indicator (I),low,False low temperature reading,Heating ramp-up — risk of overtemperature,NAMUR NE 107 Failure alarm,critical,Check wire continuity; replace sensor element
TI-6,Indicator (I),high,False high temperature reading,Cooling/heating overreaction; potential ESD trip,Redundant thermocouple comparison; HH alarm check,major,"Check thermowell, re-calibrate; compare with backup TI"
TI-6,Indicator (I),low,False low temperature reading,Heating ramp-up — risk of overtemperature,NAMUR NE 107 Failure alarm,critical,Check wire continuity; replace sensor element
TI-7,Indicator (I),high,False high temperature reading,Cooling/heating overreaction; potential ESD trip,Redundant thermocouple comparison; HH alarm check,major,"Check thermowell, re-calibrate; compare with backup TI"
TI-7,Indicator (I),low,False low temperature reading,Heating ramp-up — risk of overtemperature,NAMUR NE 107 Failure alarm,critical,Check wire continuity; replace sensor element
TI-8,Indicator (I),high,False high temperature reading,Cooling/heating overreaction; potential ESD trip,Redundant thermocouple comparison; HH alarm check,major,"Check thermowell, re-calibrate; compare with backup TI"
TI-8,Indicator (I),low,False low temperature reading,Heating ramp-up — risk of overtemperature,NAMUR NE 107 Failure alarm,critical,Check wire continuity; replace sensor element
V-3,Control Valve,stuck_open,Valve unable to close,Uncontrolled flow — possible flooding or overpressure downstream,Positioner feedback deviation alarm,critical,"Switch to manual bypass; inspect actuator diaphragm, positioner"
V-3,Control Valve,stuck_closed,Valve unable to open,"Flow stoppage — process starvation, pump dead-heading",Low flow alarm (FIA-L); pump trip on low-flow protection,critical,Check air supply pressure; inspect positioner; replace actuator
V-3,Control Valve,fail_as_is,Valve frozen at last position,Loss of control — process drifts from setpoint,Controller output deviation alarm,major,Check valve positioner signal; inspect packing / gland
V-3,Control Valve,external_leak,Stem packing leak,Fugitive emission — HSE hazard if toxic/flammable,Periodic leak check per API 624; FID / gas detector,major,Tighten packing; replace stem packing at next shutdown
V-4,Control Valve,stuck_open,Valve unable to close,Uncontrolled flow — possible flooding or overpressure downstream,Positioner feedback deviation alarm,critical,"Switch to manual bypass; inspect actuator diaphragm, positioner"
V-4,Control Valve,stuck_closed,Valve unable to open,"Flow stoppage — process starvation, pump dead-heading",Low flow alarm (FIA-L); pump trip on low-flow protection,critical,Check air supply pressure; inspect positioner; replace actuator
V-4,Control Valve,fail_as_is,Valve frozen at last position,Loss of control — process drifts from setpoint,Controller output deviation alarm,major,Check valve positioner signal; inspect packing / gland
V-4,Control Valve,external_leak,Stem packing leak,Fugitive emission — HSE hazard if toxic/flammable,Periodic leak check per API 624; FID / gas detector,major,Tighten packing; replace stem packing at next shutdown
V-5,Control Valve,stuck_open,Valve unable to close,Uncontrolled flow — possible flooding or overpressure downstream,Positioner feedback deviation alarm,critical,"Switch to manual bypass; inspect actuator diaphragm, positioner"
V-5,Control Valve,stuck_closed,Valve unable to open,"Flow stoppage — process starvation, pump dead-heading",Low flow alarm (FIA-L); pump trip on low-flow protection,critical,Check air supply pressure; inspect positioner; replace actuator
V-5,Control Valve,fail_as_is,Valve frozen at last position,Loss of control — process drifts from setpoint,Controller output deviation alarm,major,Check valve positioner signal; inspect packing / gland
V-5,Control Valve,external_leak,Stem packing leak,Fugitive emission — HSE hazard if toxic/flammable,Periodic leak check per API 624; FID / gas detector,major,Tighten packing; replace stem packing at next shutdown
V-7,Control Valve,stuck_open,Valve unable to close,Uncontrolled flow — possible flooding or overpressure downstream,Positioner feedback deviation alarm,critical,"Switch to manual bypass; inspect actuator diaphragm, positioner"
V-7,Control Valve,stuck_closed,Valve unable to open,"Flow stoppage — process starvation, pump dead-heading",Low flow alarm (FIA-L); pump trip on low-flow protection,critical,Check air supply pressure; inspect positioner; replace actuator
V-7,Control Valve,fail_as_is,Valve frozen at last position,Loss of control — process drifts from setpoint,Controller output deviation alarm,major,Check valve positioner signal; inspect packing / gland
V-7,Control Valve,external_leak,Stem packing leak,Fugitive emission — HSE hazard if toxic/flammable,Periodic leak check per API 624; FID / gas detector,major,Tighten packing; replace stem packing at next shutdown
E-4,Heat Exchanger,tube_leak,Tube leak — cross-contamination,Process fluid contaminates utility stream (or vice versa),Conductivity analyser on cooling water return; AT alarm,critical,Isolate and plug affected tubes; schedule re-tube at shutdown
E-4,Heat Exchanger,fouling,Tube-side / shell-side fouling,Reduced heat transfer — temperature drift,TI outlet temperature trending; increasing DP,minor,Chemical clean or mechanical descale per maintenance schedule
E-4,Heat Exchanger,vapour_lock,Vapour binding / lock in condenser,Flooded condenser; reflux loss; column upset,Temperature profile anomaly; DP increase,major,Purge non-condensables; check vent valve operation
E-4,Heat Exchanger,tube_rupture,Catastrophic tube rupture,High-pressure side overfills low-pressure side; PSV demand,PSV on low-pressure side; DP-loss alarm,critical,Activate ESD; isolate both sides; investigate per API 521
E-5,Vessel,high_pressure,Vessel overpressure,Structural integrity risk; PRV / PSV demand,PSV-102 or rupture disc; PAH alarm,critical,Activate ESD; verify PSV lift; investigate cause after isolation
E-5,Vessel,high_level,Liquid overflow,Flooding downstream equipment; pump cavitation,LSH alarm; LHH trip,critical,Activate level shutdown; divert flow; inspect level instrument
E-5,Vessel,low_level,Vessel runs dry,Pump cavitation; loss of process,LSL alarm; LLL trip,major,Reduce outflow; check inlet isolation valves
E-7,Column,flooding,Column flooding,Loss of separation; carry-over; product off-spec,DP trending; overhead TI rise,major,Reduce feed and reflux; investigate fouling or load increase
E-7,Column,weeping,Weeping / tray weeping,Reduced tray efficiency; loss of fractionation,Tray-efficiency calculation; product composition,minor,Increase vapour rate; review operating envelope
E-7,Column,dry_tray,Dry tray from low liquid load,Localised downcomer unsealing; poor separation,Tray DP trending,minor,Increase reflux; review tray weir design
E-7,Column,foaming,Foaming in column,Premature flooding; carryover,Gamma scan; anti-foam addition log,major,Inject anti-foam; investigate feed contamination
E-7,Column,fouling,Internal fouling / tray plugging,DP rise; capacity loss,Gamma scan during turnaround planning,minor,Plan online/offline cleaning; review feed treatment
E-7,Column,channelling,Liquid maldistribution / channelling,Slip of contaminant through packing; emissions limit breach,Stack analyser; liquid distributor visual inspection,major,Re-level distributor; consider structured-packing replacement
E-7,Column,packing_damage,Packing crush / damage,Severe DP rise or channelling; column capacity loss,DP step-change; turnaround inspection,major,Replace packing at next shutdown; review operating upsets
E-7,Column,amine_degradation,Amine solvent degradation (heat-stable salts),Reduced absorption capacity; corrosion on reboiler,"Amine analyser (HSS, degradation products)",major,Reclaimer service; partial solvent replacement
E-7,Column,regenerator_fail,Stripper/regenerator underperformance,Lean solvent high in acid gas; circulation issues,Lean loading lab test; reboiler duty,major,Increase reboiler duty; verify reflux; check tray integrity
E-8,Vessel,high_pressure,Vessel overpressure,Structural integrity risk; PRV / PSV demand,PSV-102 or rupture disc; PAH alarm,critical,Activate ESD; verify PSV lift; investigate cause after isolation
E-8,Vessel,high_level,Liquid overflow,Flooding downstream equipment; pump cavitation,LSH alarm; LHH trip,critical,Activate level shutdown; divert flow; inspect level instrument
E-8,Vessel,low_level,Vessel runs dry,Pump cavitation; loss of process,LSL alarm; LLL trip,major,Reduce outflow; check inlet isolation valves
E-9,Heat Exchanger,tube_leak,Tube leak — cross-contamination,Process fluid contaminates utility stream (or vice versa),Conductivity analyser on cooling water return; AT alarm,critical,Isolate and plug affected tubes; schedule re-tube at shutdown
E-9,Heat Exchanger,fouling,Tube-side / shell-side fouling,Reduced heat transfer — temperature drift,TI outlet temperature trending; increasing DP,minor,Chemical clean or mechanical descale per maintenance schedule
E-9,Heat Exchanger,vapour_lock,Vapour binding / lock in condenser,Flooded condenser; reflux loss; column upset,Temperature profile anomaly; DP increase,major,Purge non-condensables; check vent valve operation
E-9,Heat Exchanger,tube_rupture,Catastrophic tube rupture,High-pressure side overfills low-pressure side; PSV demand,PSV on low-pressure side; DP-loss alarm,critical,Activate ESD; isolate both sides; investigate per API 521
E-12,Heat Exchanger,tube_leak,Tube leak — cross-contamination,Process fluid contaminates utility stream (or vice versa),Conductivity analyser on cooling water return; AT alarm,critical,Isolate and plug affected tubes; schedule re-tube at shutdown
