Variable Name,Address,Data Type,I/O Type,ISA Tag,Description
TI_2909_Raw,%IW0,INT,AI,TI-2909,"Temperature indicator on process inlet line, left side of ex"
TI_2917_Raw,%IW2,INT,AI,TI-2917,"Temperature indicator high-high (HH), far top right, associa"
TT_2909_Raw,%IW4,INT,AI,TT-2909,"Temperature transmitter on process line, left side inlet"
TT_2911_Raw,%IW6,INT,AI,TT-2911,"Temperature transmitter on process outlet, right side of exc"
TT_2917_Raw,%IW8,INT,AI,TT-2917,"Temperature transmitter on heating medium/utility inlet, far"
XI_2901A_Raw,%IW10,INT,AI,XI-2901A,Status indicator AVAILABLE for motor/fan A. Shown at MCC.
XI_2901B_Raw,%IW12,INT,AI,XI-2901B,Status indicator AVAILABLE for motor/fan B. Shown at MCC.
KV_2904_Out,%QW0,INT,AO,KV-2904,"Actuated valve on inlet process line, far left. Tag KV-2904,"
ESD_3200,%IX0.0,BOOL,DI,ESD-3200,"Emergency shutdown device/input, appears on both motor A and"
HS_2901A,%IX0.1,BOOL,DI,HS-2901A,"Hand switch for motor/fan A control. Panel-mounted, left sid"
HS_2901A1,%IX0.2,BOOL,DI,HS-2901A1,Hand switch LOCAL/REMOTE selector for motor A. Located at MC
HS_2901A2,%IX0.3,BOOL,DI,HS-2901A2,Hand switch STOP/START for motor A at MCC level.
HS_2901B,%IX0.4,BOOL,DI,HS-2901B,"Hand switch for motor/fan B control. Panel-mounted, right si"
HS_2901B1,%IX0.5,BOOL,DI,HS-2901B1,Hand switch LOCAL/REMOTE selector for motor B. Located at MC
HS_2901B2,%IX0.6,BOOL,DI,HS-2901B2,Hand switch STOP/START for motor B at MCC level.
HS_EMERGENCY_STOP_A_2901A,%IX0.7,BOOL,DI,HS-EMERGENCY-STOP-A-2901A,"Emergency stop hand switch for motor A, field-mounted circul"
HS_EMERGENCY_STOP_B_2901B,%IX1.0,BOOL,DI,HS-EMERGENCY-STOP-B-2901B,"Emergency stop hand switch for motor B, field-mounted circul"
HS_START_STOP_A_2901A,%IX1.1,BOOL,DI,HS-START-STOP-A-2901A,Field/local hand switch START/STOP for motor A. Associated w
HS_START_STOP_B_2901B,%IX1.2,BOOL,DI,HS-START-STOP-B-2901B,Field/local hand switch START/STOP for motor B. Associated w
PSD_2917,%IX1.3,BOOL,DI,PSD-2917,Pressure/Temperature shutdown device (PSD) on utility/heatin
VSHH_2901A,%IX1.4,BOOL,DI,VSHH-2901A,Vibration switch high-high on fan/motor A. Safety function —
VSHH_2901B,%IX1.5,BOOL,DI,VSHH-2901B,Vibration switch high-high on fan/motor B. Safety function. 
