Variable Name,Address,Data Type,I/O Type,ISA Tag,Description
TI_2909_Raw,%IW0,INT,AI,TI-2909,"Temperature indicator, panel-mounted square box, on inlet pi"
TI_2917_Raw,%IW2,INT,AI,TI-2917,"Temperature indicator with HH (high-high) annotation, panel-"
TT_2909_Raw,%IW4,INT,AI,TT-2909,"Temperature transmitter on inlet line upstream of E-234-009,"
TT_2911_Raw,%IW6,INT,AI,TT-2911,Temperature transmitter on outlet piping from E-234-009 (pro
TT_2917_Raw,%IW8,INT,AI,TT-2917,"Temperature transmitter on utility/secondary side outlet, fi"
XI_2901A_Raw,%IW10,INT,AI,XI-2901A,"Status indicator AVAILABLE for drive/MCC A, panel-mounted sq"
XI_2901B_Raw,%IW12,INT,AI,XI-2901B,"Status indicator AVAILABLE for drive/MCC B, panel-mounted sq"
HY_2903A_Out,%QW0,INT,AO,HY-2903A,"Hand relay/output converter for drive A, connected to HIC-29"
HY_2903B_Out,%QW2,INT,AO,HY-2903B,"Hand relay/output converter for drive B, connected to HIC-29"
ESD_3200,%IX0.0,BOOL,DI,ESD-3200,"Emergency shutdown device/switch (ESD-3200), panel-mounted s"
HS_2901A,%IX0.1,BOOL,DI,HS-2901A,"Hand switch for drive A, panel-mounted square, NOTE 9 refere"
HS_2901A1,%IX0.2,BOOL,DI,HS-2901A1,"Hand switch LOCAL/REMOTE selector for drive A, panel-mounted"
HS_2901A2,%IX0.3,BOOL,DI,HS-2901A2,"Hand switch STOP/START for drive A, panel-mounted square (HS"
HS_2901B,%IX0.4,BOOL,DI,HS-2901B,"Hand switch for drive B, panel-mounted square, NOTE 9 refere"
HS_2901B1,%IX0.5,BOOL,DI,HS-2901B1,"Hand switch LOCAL/REMOTE selector for drive B, panel-mounted"
HS_2901B2,%IX0.6,BOOL,DI,HS-2901B2,"Hand switch STOP/START for drive B, panel-mounted square (HS"
HS_EMGSTOP_A_2901A,%IX0.7,BOOL,DI,HS-EMGSTOP-A-2901A,"Hand switch EMERGENCY STOP (field-mounted circle), for drive"
HS_EMGSTOP_B_2901B,%IX1.0,BOOL,DI,HS-EMGSTOP-B-2901B,"Hand switch EMERGENCY STOP (field-mounted circle), for drive"
HS_START_STOP_A_2901A,%IX1.1,BOOL,DI,HS-START-STOP-A-2901A,"Hand switch START/STOP (field-mounted circle), NOTE 4,10 ref"
HS_START_STOP_B_2901B,%IX1.2,BOOL,DI,HS-START-STOP-B-2901B,"Hand switch START/STOP (field-mounted circle), NOTE 4,10 ref"
PSD_2917,%IX1.3,BOOL,DI,PSD-2917,"Pressure switch with shutdown function (PSD), panel-mounted "
VSHH_2901A,%IX1.4,BOOL,DI,VSHH-2901A,"Vibration switch high-high on pump/compressor A, field-mount"
VSHH_2901B,%IX1.5,BOOL,DI,VSHH-2901B,"Vibration switch high-high on pump/compressor B, field-mount"
KV_2904,%QX0.0,BOOL,DO,KV-2904,Time-function valve or timer-operated valve KV-2904 on inlet
XA_2901A,%QX0.1,BOOL,DO,XA-2901A,"Fault alarm indicator for drive A, panel-mounted square, lab"
XA_2901B,%QX0.2,BOOL,DO,XA-2901B,"Fault alarm indicator for drive B, panel-mounted square, lab"
XL_2901A,%QX0.3,BOOL,DO,XL-2901A,"Run status light/indicator RUNNING/STOP for drive A, panel-m"
XL_2901B,%QX0.4,BOOL,DO,XL-2901B,"Run status light/indicator RUNNING/STOP for drive B, panel-m"
