Tag,Component Type,Fault Mode,Local Effect,System Effect,Detection Method,Severity,Recommended Action
TI-2909,Indicator (I),high,False high temperature reading,Cooling/heating overreaction; potential ESD trip,Redundant thermocouple comparison; HH alarm check,major,"Check thermowell, re-calibrate; compare with backup TI"
TI-2909,Indicator (I),low,False low temperature reading,Heating ramp-up — risk of overtemperature,NAMUR NE 107 Failure alarm,critical,Check wire continuity; replace sensor element
TT-2909,Instrument (T),high,False high temperature reading,Cooling/heating overreaction; potential ESD trip,Redundant thermocouple comparison; HH alarm check,major,"Check thermowell, re-calibrate; compare with backup TI"
TT-2909,Instrument (T),low,False low temperature reading,Heating ramp-up — risk of overtemperature,NAMUR NE 107 Failure alarm,critical,Check wire continuity; replace sensor element
TT-2911,Instrument (T),high,False high temperature reading,Cooling/heating overreaction; potential ESD trip,Redundant thermocouple comparison; HH alarm check,major,"Check thermowell, re-calibrate; compare with backup TI"
TT-2911,Instrument (T),low,False low temperature reading,Heating ramp-up — risk of overtemperature,NAMUR NE 107 Failure alarm,critical,Check wire continuity; replace sensor element
TT-2917,Instrument (T),high,False high temperature reading,Cooling/heating overreaction; potential ESD trip,Redundant thermocouple comparison; HH alarm check,major,"Check thermowell, re-calibrate; compare with backup TI"
TT-2917,Instrument (T),low,False low temperature reading,Heating ramp-up — risk of overtemperature,NAMUR NE 107 Failure alarm,critical,Check wire continuity; replace sensor element
TI-2917,Indicator (I),high,False high temperature reading,Cooling/heating overreaction; potential ESD trip,Redundant thermocouple comparison; HH alarm check,major,"Check thermowell, re-calibrate; compare with backup TI"
TI-2917,Indicator (I),low,False low temperature reading,Heating ramp-up — risk of overtemperature,NAMUR NE 107 Failure alarm,critical,Check wire continuity; replace sensor element
PSD-2917,Instrument (S),fail_to_operate,Safety switch does not actuate on demand,Safety function fails dangerously — hazard not detected,SIL proof-test; PFDavg calculation,critical,Immediate proof-test; replace if failed; review SIL maintenance schedule
PSD-2917,Instrument (S),spurious_operation,Switch actuates without demand (false trip),Nuisance shutdown,Trip log review; instrument calibration check,major,Re-calibrate set-point; check for vibration or contamination
VSHH-2901A,Instrument (S),fail_to_operate,Safety switch does not actuate on demand,Safety function fails dangerously — hazard not detected,SIL proof-test; PFDavg calculation,critical,Immediate proof-test; replace if failed; review SIL maintenance schedule
VSHH-2901A,Instrument (S),spurious_operation,Switch actuates without demand (false trip),Nuisance shutdown,Trip log review; instrument calibration check,major,Re-calibrate set-point; check for vibration or contamination
VSHH-2901B,Instrument (S),fail_to_operate,Safety switch does not actuate on demand,Safety function fails dangerously — hazard not detected,SIL proof-test; PFDavg calculation,critical,Immediate proof-test; replace if failed; review SIL maintenance schedule
VSHH-2901B,Instrument (S),spurious_operation,Switch actuates without demand (false trip),Nuisance shutdown,Trip log review; instrument calibration check,major,Re-calibrate set-point; check for vibration or contamination
HS-2901A,Instrument (S),fail_to_operate,Safety switch does not actuate on demand,Safety function fails dangerously — hazard not detected,SIL proof-test; PFDavg calculation,critical,Immediate proof-test; replace if failed; review SIL maintenance schedule
HS-2901A,Instrument (S),spurious_operation,Switch actuates without demand (false trip),Nuisance shutdown,Trip log review; instrument calibration check,major,Re-calibrate set-point; check for vibration or contamination
HS-2901B,Instrument (S),fail_to_operate,Safety switch does not actuate on demand,Safety function fails dangerously — hazard not detected,SIL proof-test; PFDavg calculation,critical,Immediate proof-test; replace if failed; review SIL maintenance schedule
HS-2901B,Instrument (S),spurious_operation,Switch actuates without demand (false trip),Nuisance shutdown,Trip log review; instrument calibration check,major,Re-calibrate set-point; check for vibration or contamination
HS-2901A1,Instrument (S),fail_to_operate,Safety switch does not actuate on demand,Safety function fails dangerously — hazard not detected,SIL proof-test; PFDavg calculation,critical,Immediate proof-test; replace if failed; review SIL maintenance schedule
HS-2901A1,Instrument (S),spurious_operation,Switch actuates without demand (false trip),Nuisance shutdown,Trip log review; instrument calibration check,major,Re-calibrate set-point; check for vibration or contamination
HS-2901B1,Instrument (S),fail_to_operate,Safety switch does not actuate on demand,Safety function fails dangerously — hazard not detected,SIL proof-test; PFDavg calculation,critical,Immediate proof-test; replace if failed; review SIL maintenance schedule
HS-2901B1,Instrument (S),spurious_operation,Switch actuates without demand (false trip),Nuisance shutdown,Trip log review; instrument calibration check,major,Re-calibrate set-point; check for vibration or contamination
HS-2901A2,Instrument (S),fail_to_operate,Safety switch does not actuate on demand,Safety function fails dangerously — hazard not detected,SIL proof-test; PFDavg calculation,critical,Immediate proof-test; replace if failed; review SIL maintenance schedule
HS-2901A2,Instrument (S),spurious_operation,Switch actuates without demand (false trip),Nuisance shutdown,Trip log review; instrument calibration check,major,Re-calibrate set-point; check for vibration or contamination
HS-2901B2,Instrument (S),fail_to_operate,Safety switch does not actuate on demand,Safety function fails dangerously — hazard not detected,SIL proof-test; PFDavg calculation,critical,Immediate proof-test; replace if failed; review SIL maintenance schedule
