Tag,Component Type,Fault Mode,Local Effect,System Effect,Detection Method,Severity,Recommended Action
HS-4750.01,Instrument (S),fail_to_operate,Safety switch does not actuate on demand,Safety function fails dangerously — hazard not detected,SIL proof-test; PFDavg calculation,critical,Immediate proof-test; replace if failed; review SIL maintenance schedule
HS-4750.01,Instrument (S),spurious_operation,Switch actuates without demand (false trip),Nuisance shutdown,Trip log review; instrument calibration check,major,Re-calibrate set-point; check for vibration or contamination
PV4712.02,Control Valve,stuck_open,Valve unable to close,Uncontrolled flow — possible flooding or overpressure downstream,Positioner feedback deviation alarm,critical,"Switch to manual bypass; inspect actuator diaphragm, positioner"
PV4712.02,Control Valve,stuck_closed,Valve unable to open,"Flow stoppage — process starvation, pump dead-heading",Low flow alarm (FIA-L); pump trip on low-flow protection,critical,Check air supply pressure; inspect positioner; replace actuator
PV4712.02,Control Valve,fail_as_is,Valve frozen at last position,Loss of control — process drifts from setpoint,Controller output deviation alarm,major,Check valve positioner signal; inspect packing / gland
PV4712.02,Control Valve,external_leak,Stem packing leak,Fugitive emission — HSE hazard if toxic/flammable,Periodic leak check per API 624; FID / gas detector,major,Tighten packing; replace stem packing at next shutdown
TV4750.03,Control Valve,stuck_open,Valve unable to close,Uncontrolled flow — possible flooding or overpressure downstream,Positioner feedback deviation alarm,critical,"Switch to manual bypass; inspect actuator diaphragm, positioner"
TV4750.03,Control Valve,stuck_closed,Valve unable to open,"Flow stoppage — process starvation, pump dead-heading",Low flow alarm (FIA-L); pump trip on low-flow protection,critical,Check air supply pressure; inspect positioner; replace actuator
TV4750.03,Control Valve,fail_as_is,Valve frozen at last position,Loss of control — process drifts from setpoint,Controller output deviation alarm,major,Check valve positioner signal; inspect packing / gland
TV4750.03,Control Valve,external_leak,Stem packing leak,Fugitive emission — HSE hazard if toxic/flammable,Periodic leak check per API 624; FID / gas detector,major,Tighten packing; replace stem packing at next shutdown
P4711,Pump,cavitation,Pump cavitation,"Loss of head, impeller damage, vibration",VT-101 vibration transmitter; FIA-L low-flow alarm,major,Increase suction pressure; check NPSH; reduce speed
P4711,Pump,seal_failure,Mechanical seal failure,Process fluid loss — HSE/environmental hazard,Seal pot level alarm; shaft leak detector,critical,Switch to standby pump; schedule seal replacement
P4711,Pump,loss_of_prime,Pump loses prime,No flow — downstream starvation,PI-102 pressure drop; FIA-L,major,Check suction valve fully open; re-prime; inspect strainer
