Tag,Component Type,Fault Mode,Local Effect,System Effect,Detection Method,Severity,Recommended Action
FT-10,Instrument (T),high,False high flow reading,Controller drives valve closed unnecessarily,Process cross-check with DP; NAMUR NE 107 Out-of-Spec alarm,major,Inspect impulse lines; calibrate or replace transmitter
FT-10,Instrument (T),low,False low / zero flow reading,Controller opens valve — possible overflow or runaway,NAMUR NE 107 Failure alarm; low-flow interlock check,critical,"Inspect for blocked impulse line, check power supply; replace if failed"
FT-11,Instrument (T),high,False high flow reading,Controller drives valve closed unnecessarily,Process cross-check with DP; NAMUR NE 107 Out-of-Spec alarm,major,Inspect impulse lines; calibrate or replace transmitter
FT-11,Instrument (T),low,False low / zero flow reading,Controller opens valve — possible overflow or runaway,NAMUR NE 107 Failure alarm; low-flow interlock check,critical,"Inspect for blocked impulse line, check power supply; replace if failed"
Fv-3-3040,Control Valve,stuck_open,Valve unable to close,Uncontrolled flow — possible flooding or overpressure downstream,Positioner feedback deviation alarm,critical,"Switch to manual bypass; inspect actuator diaphragm, positioner"
Fv-3-3040,Control Valve,stuck_closed,Valve unable to open,"Flow stoppage — process starvation, pump dead-heading",Low flow alarm (FIA-L); pump trip on low-flow protection,critical,Check air supply pressure; inspect positioner; replace actuator
Fv-3-3040,Control Valve,fail_as_is,Valve frozen at last position,Loss of control — process drifts from setpoint,Controller output deviation alarm,major,Check valve positioner signal; inspect packing / gland
Fv-3-3040,Control Valve,external_leak,Stem packing leak,Fugitive emission — HSE hazard if toxic/flammable,Periodic leak check per API 624; FID / gas detector,major,Tighten packing; replace stem packing at next shutdown
Fv-3-3041,Control Valve,stuck_open,Valve unable to close,Uncontrolled flow — possible flooding or overpressure downstream,Positioner feedback deviation alarm,critical,"Switch to manual bypass; inspect actuator diaphragm, positioner"
Fv-3-3041,Control Valve,stuck_closed,Valve unable to open,"Flow stoppage — process starvation, pump dead-heading",Low flow alarm (FIA-L); pump trip on low-flow protection,critical,Check air supply pressure; inspect positioner; replace actuator
Fv-3-3041,Control Valve,fail_as_is,Valve frozen at last position,Loss of control — process drifts from setpoint,Controller output deviation alarm,major,Check valve positioner signal; inspect packing / gland
Fv-3-3041,Control Valve,external_leak,Stem packing leak,Fugitive emission — HSE hazard if toxic/flammable,Periodic leak check per API 624; FID / gas detector,major,Tighten packing; replace stem packing at next shutdown
CHECK-001,Check Valve,stuck_open,Check valve fails to close,Reverse flow on pump stop — potential water hammer,Reverse-flow surge test; acoustic leak check,critical,Isolate and inspect; replace disc or spring
CHECK-001,Check Valve,chatter,Check valve disc chatter,Premature mechanical wear; pressure pulsations,Vibration monitoring on downstream piping,minor,Replace with nozzle-style check valve; re-size for service
CHECK-002,Check Valve,stuck_open,Check valve fails to close,Reverse flow on pump stop — potential water hammer,Reverse-flow surge test; acoustic leak check,critical,Isolate and inspect; replace disc or spring
CHECK-002,Check Valve,chatter,Check valve disc chatter,Premature mechanical wear; pressure pulsations,Vibration monitoring on downstream piping,minor,Replace with nozzle-style check valve; re-size for service
P-201,Pump,cavitation,Pump cavitation,"Loss of head, impeller damage, vibration",VT-101 vibration transmitter; FIA-L low-flow alarm,major,Increase suction pressure; check NPSH; reduce speed
P-201,Pump,seal_failure,Mechanical seal failure,Process fluid loss — HSE/environmental hazard,Seal pot level alarm; shaft leak detector,critical,Switch to standby pump; schedule seal replacement
P-201,Pump,loss_of_prime,Pump loses prime,No flow — downstream starvation,PI-102 pressure drop; FIA-L,major,Check suction valve fully open; re-prime; inspect strainer
P-201,Pump,bearing_wear,Bearing wear / imminent failure,"Rising vibration, temperature; impending shaft seizure",Vibration trending (ISO 10816); bearing temperature RTD,major,Switch to standby; schedule bearing replacement
P-201,Pump,motor_overload,Motor overcurrent,Motor winding damage; unplanned trip,MCC overload relay; motor-current trending,major,Inspect for mechanical binding; check process DP increase
P-201,Pump,reverse_rotation,Pump running backwards,No flow delivered; impeller damage on startup,Phase-sequence check; discharge pressure monitoring,major,Correct motor phasing; re-commission
P-504,Pump,cavitation,Pump cavitation,"Loss of head, impeller damage, vibration",VT-101 vibration transmitter; FIA-L low-flow alarm,major,Increase suction pressure; check NPSH; reduce speed
P-504,Pump,seal_failure,Mechanical seal failure,Process fluid loss — HSE/environmental hazard,Seal pot level alarm; shaft leak detector,critical,Switch to standby pump; schedule seal replacement
P-504,Pump,loss_of_prime,Pump loses prime,No flow — downstream starvation,PI-102 pressure drop; FIA-L,major,Check suction valve fully open; re-prime; inspect strainer
P-504,Pump,bearing_wear,Bearing wear / imminent failure,"Rising vibration, temperature; impending shaft seizure",Vibration trending (ISO 10816); bearing temperature RTD,major,Switch to standby; schedule bearing replacement
P-504,Pump,motor_overload,Motor overcurrent,Motor winding damage; unplanned trip,MCC overload relay; motor-current trending,major,Inspect for mechanical binding; check process DP increase
P-504,Pump,reverse_rotation,Pump running backwards,No flow delivered; impeller damage on startup,Phase-sequence check; discharge pressure monitoring,major,Correct motor phasing; re-commission
FILTER-001,Filter,plugged,Filter plugged,High DP; upstream equipment back-pressure,DP alarm high; auto-changeover to standby,minor,Switch to standby filter; clean or replace element
FILTER-001,Filter,element_failure,Filter element ruptured,Unfiltered material bypasses filter,Downstream particle analyser; DP drop to zero,major,Isolate; inspect and replace element
FILTER-001,Filter,saturation,Dryer / molecular-sieve saturation,Water / contaminant breakthrough,Moisture analyser downstream; cycle time reduction,major,Regenerate or replace sieve; review feed specification
FILTER-002,Filter,plugged,Filter plugged,High DP; upstream equipment back-pressure,DP alarm high; auto-changeover to standby,minor,Switch to standby filter; clean or replace element
FILTER-002,Filter,element_failure,Filter element ruptured,Unfiltered material bypasses filter,Downstream particle analyser; DP drop to zero,major,Isolate; inspect and replace element
FILTER-002,Filter,saturation,Dryer / molecular-sieve saturation,Water / contaminant breakthrough,Moisture analyser downstream; cycle time reduction,major,Regenerate or replace sieve; review feed specification
M-08,Mixer,shaft_seal_leak,Agitator shaft seal leak,Loss of containment; fugitive emission,Seal-pot level alarm; visual inspection,major,Switch to spare; replace mechanical seal
M-08,Mixer,imbalance,Rotational imbalance (blade damage),Excessive vibration; bearing failure imminent,VT-trending; motor-current anomaly,major,Stop unit; inspect impeller for erosion / blade loss
R-102,Reactor,thermal_runaway,Exothermic runaway reaction,Temperature/pressure spike; loss of containment; fire/explosion,Redundant TI with 2oo3 voting; dump / quench / inhibitor system,critical,Activate emergency dump/quench; isolate reactants; follow CCPS guidelines
R-102,Reactor,catalyst_poisoning,Catalyst poisoning / deactivation,Loss of yield; increased feed to meet target; higher temp needed,Product-purity analyser trending; temperature-rise-per-pass,major,Feed-spec review; plan catalyst change-out
R-102,Reactor,coking,Coke / polymer formation,DP rise; hot-spots; channelling,DP-cell trending; skin-TC array,major,Plan decoke / regeneration; review feed composition
R-102,Reactor,agitator_fail,Agitator failure in stirred-tank reactor,Loss of mixing — localised hot-spot or runaway,Motor-current trending; shaft-speed monitor,critical,Immediate cooling; dump contents; inspect shaft seal and bearings
