Tag,Component Type,Fault Mode,Local Effect,System Effect,Detection Method,Severity,Recommended Action
HS-4750.01,Instrument (S),fail_to_operate,Safety switch does not actuate on demand,Safety function fails dangerously — hazard not detected,SIL proof-test; PFDavg calculation,critical,Immediate proof-test; replace if failed; review SIL maintenance schedule
HS-4750.01,Instrument (S),spurious_operation,Switch actuates without demand (false trip),Nuisance shutdown,Trip log review; instrument calibration check,major,Re-calibrate set-point; check for vibration or contamination
SV-104.01,Shutdown Valve (SOV/MOV),fail_to_close,ESD valve does not close on demand,Safety function unavailable — process hazard propagates,Partial stroke test (PST); SIL proof-test schedule,critical,Immediate proof-test; check coil continuity and air supply
SV-104.01,Shutdown Valve (SOV/MOV),spurious_trip,Valve closes without demand,Nuisance shutdown — production loss,Spurious trip log; review MTTR,major,Check for voltage spike / EMI on coil; review wiring
F.O.,Control Valve,stuck_open,Valve unable to close,Uncontrolled flow — possible flooding or overpressure downstream,Positioner feedback deviation alarm,critical,"Switch to manual bypass; inspect actuator diaphragm, positioner"
F.O.,Control Valve,stuck_closed,Valve unable to open,"Flow stoppage — process starvation, pump dead-heading",Low flow alarm (FIA-L); pump trip on low-flow protection,critical,Check air supply pressure; inspect positioner; replace actuator
F.O.,Control Valve,fail_as_is,Valve frozen at last position,Loss of control — process drifts from setpoint,Controller output deviation alarm,major,Check valve positioner signal; inspect packing / gland
F.O.,Control Valve,external_leak,Stem packing leak,Fugitive emission — HSE hazard if toxic/flammable,Periodic leak check per API 624; FID / gas detector,major,Tighten packing; replace stem packing at next shutdown
F.C.,Control Valve,stuck_open,Valve unable to close,Uncontrolled flow — possible flooding or overpressure downstream,Positioner feedback deviation alarm,critical,"Switch to manual bypass; inspect actuator diaphragm, positioner"
F.C.,Control Valve,stuck_closed,Valve unable to open,"Flow stoppage — process starvation, pump dead-heading",Low flow alarm (FIA-L); pump trip on low-flow protection,critical,Check air supply pressure; inspect positioner; replace actuator
F.C.,Control Valve,fail_as_is,Valve frozen at last position,Loss of control — process drifts from setpoint,Controller output deviation alarm,major,Check valve positioner signal; inspect packing / gland
F.C.,Control Valve,external_leak,Stem packing leak,Fugitive emission — HSE hazard if toxic/flammable,Periodic leak check per API 624; FID / gas detector,major,Tighten packing; replace stem packing at next shutdown
T4750,Vessel,high_pressure,Vessel overpressure,Structural integrity risk; PRV / PSV demand,PSV-102 or rupture disc; PAH alarm,critical,Activate ESD; verify PSV lift; investigate cause after isolation
T4750,Vessel,high_level,Liquid overflow,Flooding downstream equipment; pump cavitation,LSH alarm; LHH trip,critical,Activate level shutdown; divert flow; inspect level instrument
T4750,Vessel,low_level,Vessel runs dry,Pump cavitation; loss of process,LSL alarm; LLL trip,major,Reduce outflow; check inlet isolation valves
H1007,Heat Exchanger,tube_leak,Tube leak — cross-contamination,Process fluid contaminates utility stream (or vice versa),Conductivity analyser on cooling water return; AT alarm,critical,Isolate and plug affected tubes; schedule re-tube at shutdown
H1007,Heat Exchanger,fouling,Tube-side / shell-side fouling,Reduced heat transfer — temperature drift,TI outlet temperature trending; increasing DP,minor,Chemical clean or mechanical descale per maintenance schedule
P4711,Pump,cavitation,Pump cavitation,"Loss of head, impeller damage, vibration",VT-101 vibration transmitter; FIA-L low-flow alarm,major,Increase suction pressure; check NPSH; reduce speed
P4711,Pump,seal_failure,Mechanical seal failure,Process fluid loss — HSE/environmental hazard,Seal pot level alarm; shaft leak detector,critical,Switch to standby pump; schedule seal replacement
P4711,Pump,loss_of_prime,Pump loses prime,No flow — downstream starvation,PI-102 pressure drop; FIA-L,major,Check suction valve fully open; re-prime; inspect strainer
P4712,Pump,cavitation,Pump cavitation,"Loss of head, impeller damage, vibration",VT-101 vibration transmitter; FIA-L low-flow alarm,major,Increase suction pressure; check NPSH; reduce speed
P4712,Pump,seal_failure,Mechanical seal failure,Process fluid loss — HSE/environmental hazard,Seal pot level alarm; shaft leak detector,critical,Switch to standby pump; schedule seal replacement
P4712,Pump,loss_of_prime,Pump loses prime,No flow — downstream starvation,PI-102 pressure drop; FIA-L,major,Check suction valve fully open; re-prime; inspect strainer
H1008,Heat Exchanger,tube_leak,Tube leak — cross-contamination,Process fluid contaminates utility stream (or vice versa),Conductivity analyser on cooling water return; AT alarm,critical,Isolate and plug affected tubes; schedule re-tube at shutdown
H1008,Heat Exchanger,fouling,Tube-side / shell-side fouling,Reduced heat transfer — temperature drift,TI outlet temperature trending; increasing DP,minor,Chemical clean or mechanical descale per maintenance schedule
