Variable Name,Address,Data Type,I/O Type,ISA Tag,Description
FI_1_Raw,%IW0,INT,AI,FI-1,"Flow indicator on line P-65, feed inlet area to Decanter E-5"
FI_2_Raw,%IW2,INT,AI,FI-2,"Flow indicator on line P-53, feed to Column 2 E-7 mid-sectio"
FI_3_Raw,%IW4,INT,AI,FI-3,"Flow indicator on line P-57, side draw from Column 3 to E-8"
TI_1_Raw,%IW6,INT,AI,TI-1,"Temperature indicator, lower left area of diagram, standalon"
TI_4_Raw,%IW8,INT,AI,TI-4,"Temperature indicator on line P-12, feed inlet to Column 2 E"
TI_5_Raw,%IW10,INT,AI,TI-5,"Temperature indicator on line P-53, feed stream to Column 2 "
TI_6_Raw,%IW12,INT,AI,TI-6,"Temperature indicator on line P-47/P-48, bottom section of C"
TI_7_Raw,%IW14,INT,AI,TI-7,"Temperature indicator on right side, associated with E-8 or "
TI_8_Raw,%IW16,INT,AI,TI-8,"Temperature indicator on Column 3, upper section measurement"
V_3_Out,%QW0,INT,AO,V-3,"Control valve on line P-28, heavy phase bottom draw from Dec"
V_4_Out,%QW2,INT,AO,V-4,"Control valve on line P-74/P-12, feed flow to Column 2 E-7, "
V_5_Out,%QW4,INT,AO,V-5,"Control valve on line P-38/P-83, reflux or recycle line betw"
V_7_Out,%QW6,INT,AO,V-7,"Control valve on line P-19, overhead vapour or gas outlet fr"
